"ID","firstname","lastname","player","playerURL","team","position","injury","status","date"
"1292","Kamar","Baldwin","Kamar Baldwin","/euro/player/kamar-baldwin-1292","BAY","G","Thigh","Game Time Decision",2026-02-19
"1378","Jilson","Bango","Jilson Bango","/euro/player/jilson-bango-1378","FBB","C","Knee","OUT",2026-02-19
"1403","Davis","Bertans","Davis Bertans","/euro/player/davis-bertans-1403","DUB","F","Calf","Game Time Decision",2026-02-19
"708","Lorenzo","Brown","Lorenzo Brown","/euro/player/lorenzo-brown-708","EA7","G","Not Injury Related","OUT",2026-02-19
"1118","Arnas","Butkevicius","Arnas Butkevicius","/euro/player/arnas-butkevicius-1118","ZAL","F","Foot","OUT",2026-02-19
"998","Isaiah","Canaan","Isaiah Canaan","/euro/player/isaiah-canaan-998","CZV","G","Knee","OUT",2026-02-19
"1068","Tyson","Carter","Tyson Carter","/euro/player/tyson-carter-1068","CZV","G","Chest","OUT",2026-02-19
"1021","Alpha","Diallo","Alpha Diallo","/euro/player/alpha-diallo-1021","ASM","F","Undisclosed","Game Time Decision",2026-02-19
"1208","Khalifa","Diop","Khalifa Diop","/euro/player/khalifa-diop-1208","BKN","C","Knee","OUT",2026-02-19
"1314","Ousmane","Diop","Ousmane Diop","/euro/player/ousmane-diop-1314","EA7","C","Leg","Game Time Decision",2026-02-19
"705","Tyler","Dorsey","Tyler Dorsey","/euro/player/tyler-dorsey-705","OLY","G","Personal","Game Time Decision",2026-02-19
"1530","Kessler","Edwards","Kessler Edwards","/euro/player/kessler-edwards-1530","HTA","F","Not Injury Related","Game Time Decision",2026-02-19
"1504","Boogie","Ellis","Boogie Ellis","/euro/player/boogie-ellis-1504","DUB","G","Hamstring","Game Time Decision",2026-02-19
"548","Tyler","Ennis","Tyler Ennis","/euro/player/tyler-ennis-548","HTA","G","Achilles","OUT",2026-02-19
"972","Keenan","Evans","Keenan Evans","/euro/player/keenan-evans-972","OLY","G","Achilles","OUT",2026-02-19
"859","Moustapha","Fall","Moustapha Fall","/euro/player/moustapha-fall-859","OLY","C","Knee","OUT",2026-02-19
"1436","Tomer","Ginat","Tomer Ginat","/euro/player/tomer-ginat-1436","HTA","F","Knee","OUT",2026-02-19
"287","Daniel","Hackett","Daniel Hackett","/euro/player/daniel-hackett-287","VIR","G","Undisclosed","Game Time Decision",2026-02-19
"978","Devon","Hall","Devon Hall","/euro/player/devon-hall-978","FBB","G","Knee","OUT",2026-02-19
"297","Elias","Harris","Elias Harris","/euro/player/elias-harris-297","BAY","C","Knee","OUT",2026-02-19
"861","Kevarrius","Hayes","Kevarrius Hayes","/euro/player/kevarrius-hayes-861","ASM","C","Face","OUT",2026-02-19
"1139","Markus","Howard","Markus Howard","/euro/player/markus-howard-1139","BKN","G","Knee","Game Time Decision",2026-02-19
"1107","Mam","Jaiteh","Mam Jaiteh","/euro/player/mam-jaiteh-1107","DUB","C","Achilles","OUT",2026-02-19
"656","Rokas","Jokubaitis","Rokas Jokubaitis","/euro/player/rokas-jokubaitis-656","BAY","G","Knee","OUT",2026-02-19
"884","Chris","Jones","Chris Jones","/euro/player/chris-jones-884","HTA","G","Illness","Game Time Decision",2026-02-19
"1207","Tyrique","Jones","Tyrique Jones","/euro/player/tyrique-jones-1207","OLY","C","Knee","Game Time Decision",2026-02-19
"1339","Carlik","Jones","Carlik Jones","/euro/player/carlik-jones-1339","PAR","G","Foot","OUT",2026-02-19
"1517","Cory","Joseph","Cory Joseph","/euro/player/cory-joseph-1517","OLY","G","Leg","OUT",2026-02-19
"1423","Kosta","Kondic","Kosta Kondic","/euro/player/kosta-kondic-1423","DUB","G","Groin","Game Time Decision",2026-02-19
"339","Rodions","Kurucs","Rodions Kurucs","/euro/player/rodions-kurucs-339","BKN","F","Ankle","Game Time Decision",2026-02-19
"557","Shane","Larkin","Shane Larkin","/euro/player/shane-larkin-557","EFS","G","Groin","Game Time Decision",2026-02-19
"1446","T.J.","Leaf","T.J. Leaf","/euro/player/tj-leaf-1446","MTA","F","Shoulder","OUT",2026-02-19
"314","Mathias","Lessort","Mathias Lessort","/euro/player/mathias-lessort-314","PAO","C","Ankle","OUT",2026-02-19
"928","Iffe","Lundberg","Iffe Lundberg","/euro/player/iffe-lundberg-928","MTA","G","Achilles","OUT",2026-02-19
"1181","Timothe","Luwawu-Cabarrot","Timothe Luwawu-Cabarrot","/euro/player/timothe-luwawu-cabarrot-1181","BKN","F","Undisclosed","Game Time Decision",2026-02-19
"1138","Yoan","Makoundou","Yoan Makoundou","/euro/player/yoan-makoundou-1138","ASM","C","Not Injury Related","OUT",2026-02-19
"689","Vanja","Marinkovic","Vanja Marinkovic","/euro/player/vanja-marinkovic-689","PAR","F","Achilles","OUT",2026-02-19
"1402","Nate","Mason","Nate Mason","/euro/player/nate-mason-1402","DUB","G","Back","OUT",2026-02-19
"347","Nicolo","Melli","Nicolo Melli","/euro/player/nicolo-melli-347","FBB","F","Foot","OUT",2026-02-19
