"ID","firstname","lastname","player","playerURL","team","position","injury","status","date"
"1292","Kamar","Baldwin","Kamar Baldwin","/euro/player/kamar-baldwin-1292","BAY","G","Thigh","Game Time Decision",2025-12-28
"1378","Jilson","Bango","Jilson Bango","/euro/player/jilson-bango-1378","FBB","C","Knee","OUT",2025-12-28
"247","Onuralp","Bitim","Onuralp Bitim","/euro/player/onuralp-bitim-247","FBB","F","Ankle","OUT",2025-12-28
"795","Leandro","Bolmaro","Leandro Bolmaro","/euro/player/leandro-bolmaro-795","EA7","G","Groin","Game Time Decision",2025-12-28
"560","Joel","Bolomboy","Joel Bolomboy","/euro/player/joel-bolomboy-560","CZV","C","Foot","OUT",2025-12-28
"1256","Mitar","Bosnjakovic","Mitar Bosnjakovic","/euro/player/mitar-bosnjakovic-1256","PAR","G","Ankle","Game Time Decision",2025-12-28
"1260","Bruno","Caboclo","Bruno Caboclo","/euro/player/bruno-caboclo-1260","HTA","F","Back","OUT",2025-12-28
"998","Isaiah","Canaan","Isaiah Canaan","/euro/player/isaiah-canaan-998","CZV","G","Knee","OUT",2025-12-28
"1068","Tyson","Carter","Tyson Carter","/euro/player/tyson-carter-1068","CZV","G","Chest","OUT",2025-12-28
"323","Will","Clyburn","Will Clyburn","/euro/player/will-clyburn-323","BAR","F","Hamstring","OUT",2025-12-28
"1506","Spencer","Dinwiddie","Spencer Dinwiddie","/euro/player/spencer-dinwiddie-1506","BAY","G","Personal","Game Time Decision",2025-12-28
"1314","Ousmane","Diop","Ousmane Diop","/euro/player/ousmane-diop-1314","EA7","C","Knee","OUT",2025-12-28
"310","Ognjen","Dobric","Ognjen Dobric","/euro/player/ognjen-dobric-310","CZV","F","Back","Game Time Decision",2025-12-28
"1443","Jeff","Dowtin","Jeff Dowtin","/euro/player/jeff-dowtin-1443","MTA","G","Foot","OUT",2025-12-28
"1149","Carsen","Edwards","Carsen Edwards","/euro/player/carsen-edwards-1149","VIR","G","Undisclosed","Game Time Decision",2025-12-28
"972","Keenan","Evans","Keenan Evans","/euro/player/keenan-evans-972","OLY","G","Leg","OUT",2025-12-28
"859","Moustapha","Fall","Moustapha Fall","/euro/player/moustapha-fall-859","OLY","C","Knee","OUT",2025-12-28
"791","Diego","Flaccadori","Diego Flaccadori","/euro/player/diego-flaccadori-791","EA7","G","Chest","Game Time Decision",2025-12-28
"1153","Dovydas","Giedraitis","Dovydas Giedraitis","/euro/player/dovydas-giedraitis-1153","ZAL","G","Thigh","Game Time Decision",2025-12-28
"1518","Zach","Hankins","Zach Hankins","/euro/player/zach-hankins-1518","MTA","C","Ankle","OUT",2025-12-28
"297","Elias","Harris","Elias Harris","/euro/player/elias-harris-297","BAY","C","Knee","OUT",2025-12-28
"1107","Mam","Jaiteh","Mam Jaiteh","/euro/player/mam-jaiteh-1107","DUB","C","Achilles","OUT",2025-12-28
"1470","Karim","Jallow","Karim Jallow","/euro/player/karim-jallow-1470","VIR","F","Calf","Game Time Decision",2025-12-28
"1300","Mikael","Jantunen","Mikael Jantunen","/euro/player/mikael-jantunen-1300","FBB","F","Ankle","Game Time Decision",2025-12-28
"656","Rokas","Jokubaitis","Rokas Jokubaitis","/euro/player/rokas-jokubaitis-656","BAY","G","Knee","OUT",2025-12-28
"1339","Carlik","Jones","Carlik Jones","/euro/player/carlik-jones-1339","PAR","G","Foot","OUT",2025-12-28
"1517","Cory","Joseph","Cory Joseph","/euro/player/cory-joseph-1517","ASM","G","Not Injury Related","OUT",2025-12-28
"1423","Kosta","Kondic","Kosta Kondic","/euro/player/kosta-kondic-1423","DUB","G","Undisclosed","Game Time Decision",2025-12-28
"557","Shane","Larkin","Shane Larkin","/euro/player/shane-larkin-557","EFS","G","Groin","OUT",2025-12-28
"314","Mathias","Lessort","Mathias Lessort","/euro/player/mathias-lessort-314","PAO","C","Ankle","OUT",2025-12-28
"1109","Xabi","Lopez-Arostegui","Xabi Lopez-Arostegui","/euro/player/xabi-lopez-arostegui-1109","VBC","G","Leg","OUT",2025-12-28
"525","Jordan","Loyd","Jordan Loyd","/euro/player/jordan-loyd-525","EFS","G","Back","Game Time Decision",2025-12-28
"1461","Trey","Lyles","Trey Lyles","/euro/player/trey-lyles-1461","RMB","F","Neck","Game Time Decision",2025-12-28
"1138","Yoan","Makoundou","Yoan Makoundou","/euro/player/yoan-makoundou-1138","ASM","C","Hip","Game Time Decision",2025-12-28
"1402","Nate","Mason","Nate Mason","/euro/player/nate-mason-1402","DUB","G","Back","OUT",2025-12-28
"840","Shaquielle","McKissic","Shaquielle McKissic","/euro/player/shaquielle-mckissic-840","OLY","G","Thigh","Game Time Decision",2025-12-28
"474","Vasilije","Micic","Vasilije Micic","/euro/player/vasilije-micic-474","HTA","G","Shoulder","Game Time Decision",2025-12-28
"1459","Shake","Milton","Shake Milton","/euro/player/shake-milton-1459","PAR","G","Foot","Game Time Decision",2025-12-28
"923","Dzanan","Musa","Dzanan Musa","/euro/player/dzanan-musa-923","DUB","G","Knee","Game Time Decision",2025-12-28
"805","Mario","Nakic","Mario Nakic","/euro/player/mario-nakic-805","PAR","F","Knee","OUT",2025-12-28
"920","Juan","Nunez","Juan Nunez","/euro/player/juan-nunez-920","BAR","G","Knee","OUT",2025-12-28
"550","Georgios","Papagiannis","Georgios Papagiannis","/euro/player/georgios-papagiannis-550","EFS","C","Knee","OUT",2025-12-28
"1286","Uros","Plavsic","Uros Plavsic","/euro/player/uros-plavsic-1286","CZV","C","Shoulder","OUT",2025-12-28
"802","Aleksej","Pokusevski","Aleksej Pokusevski","/euro/player/aleksej-pokusevski-802","PAR","F","Ankle","OUT",2025-12-28
"1110","Jasiel","Rivero","Jasiel Rivero","/euro/player/jasiel-rivero-1110","CZV","C","Foot","OUT",2025-12-28
"613","Tadas","Sedekerskis","Tadas Sedekerskis","/euro/player/tadas-sedekerskis-613","BKN","F","Ankle","OUT",2025-12-28
"1206","Nate","Sestina","Nate Sestina","/euro/player/nate-sestina-1206","EA7","F","Triceps","OUT",2025-12-28
"283","Tornike","Shengelia","Tornike Shengelia","/euro/player/tornike-shengelia-283","BAR","C","Groin","Game Time Decision",2025-12-28
