"ID","firstname","lastname","player","playerURL","team","position","injury","status","date"
"1292","Kamar","Baldwin","Kamar Baldwin","/euro/player/kamar-baldwin-1292","BAY","G","Thigh","OUT",2026-01-30
"1378","Jilson","Bango","Jilson Bango","/euro/player/jilson-bango-1378","FBB","C","Knee","OUT",2026-01-30
"277","Rodrigue","Beaubois","Rodrigue Beaubois","/euro/player/rodrigue-beaubois-277","EFS","G","Calf","Game Time Decision",2026-01-30
"1403","Davis","Bertans","Davis Bertans","/euro/player/davis-bertans-1403","DUB","F","Calf","OUT",2026-01-30
"795","Leandro","Bolmaro","Leandro Bolmaro","/euro/player/leandro-bolmaro-795","EA7","G","Elbow","Game Time Decision",2026-01-30
"1430","Brandon","Boston","Brandon Boston","/euro/player/brandon-boston-1430","FBB","G","Undisclosed","Game Time Decision",2026-01-30
"708","Lorenzo","Brown","Lorenzo Brown","/euro/player/lorenzo-brown-708","EA7","G","Not Injury Related","OUT",2026-01-30
"692","Elijah","Bryant","Elijah Bryant","/euro/player/elijah-bryant-692","HTA","G","Abdomen","OUT",2026-01-30
"998","Isaiah","Canaan","Isaiah Canaan","/euro/player/isaiah-canaan-998","CZV","G","Knee","OUT",2026-01-30
"1068","Tyson","Carter","Tyson Carter","/euro/player/tyson-carter-1068","CZV","G","Chest","OUT",2026-01-30
"1103","Isaia","Cordinier","Isaia Cordinier","/euro/player/isaia-cordinier-1103","EFS","G","Back","Game Time Decision",2026-01-30
"1026","Matt","Costello","Matt Costello","/euro/player/matt-costello-1026","VBC","C","Knee","OUT",2026-01-30
"1043","Oscar","da Silva","Oscar da Silva","/euro/player/oscar-da-silva-1043","BAY","F","Undisclosed","OUT",2026-01-30
"381","John","DiBartolomeo","John DiBartolomeo","/euro/player/john-dibartolomeo-381","MTA","G","Groin","OUT",2026-01-30
"1314","Ousmane","Diop","Ousmane Diop","/euro/player/ousmane-diop-1314","EA7","C","Knee","OUT",2026-01-30
"1149","Carsen","Edwards","Carsen Edwards","/euro/player/carsen-edwards-1149","VIR","G","Illness","OUT",2026-01-30
"1504","Boogie","Ellis","Boogie Ellis","/euro/player/boogie-ellis-1504","DUB","G","Hamstring","OUT",2026-01-30
"548","Tyler","Ennis","Tyler Ennis","/euro/player/tyler-ennis-548","HTA","G","Achilles","OUT",2026-01-30
"972","Keenan","Evans","Keenan Evans","/euro/player/keenan-evans-972","OLY","G","Achilles","OUT",2026-01-30
"859","Moustapha","Fall","Moustapha Fall","/euro/player/moustapha-fall-859","OLY","C","Knee","OUT",2026-01-30
"1417","Devonte","Graham","Devonte Graham","/euro/player/devonte-graham-1417","CZV","G","Undisclosed","Game Time Decision",2026-01-30
"978","Devon","Hall","Devon Hall","/euro/player/devon-hall-978","FBB","G","Undisclosed","OUT",2026-01-30
"1518","Zach","Hankins","Zach Hankins","/euro/player/zach-hankins-1518","MTA","C","Ankle","OUT",2026-01-30
"297","Elias","Harris","Elias Harris","/euro/player/elias-harris-297","BAY","C","Knee","OUT",2026-01-30
"1107","Mam","Jaiteh","Mam Jaiteh","/euro/player/mam-jaiteh-1107","DUB","C","Achilles","OUT",2026-01-30
"656","Rokas","Jokubaitis","Rokas Jokubaitis","/euro/player/rokas-jokubaitis-656","BAY","G","Knee","OUT",2026-01-30
"1339","Carlik","Jones","Carlik Jones","/euro/player/carlik-jones-1339","PAR","G","Foot","OUT",2026-01-30
"594","Stefan","Jovic","Stefan Jovic","/euro/player/stefan-jovic-594","BAY","G","Head","OUT",2026-01-30
"1423","Kosta","Kondic","Kosta Kondic","/euro/player/kosta-kondic-1423","DUB","G","Groin","OUT",2026-01-30
"1309","Leon","Kratzer","Leon Kratzer","/euro/player/leon-kratzer-1309","BAY","C","Undisclosed","Game Time Decision",2026-01-30
"557","Shane","Larkin","Shane Larkin","/euro/player/shane-larkin-557","EFS","G","Groin","OUT",2026-01-30
"314","Mathias","Lessort","Mathias Lessort","/euro/player/mathias-lessort-314","PAO","C","Ankle","OUT",2026-01-30
"525","Jordan","Loyd","Jordan Loyd","/euro/player/jordan-loyd-525","EFS","G","Foot","Game Time Decision",2026-01-30
"1094","Yam","Madar","Yam Madar","/euro/player/yam-madar-1094","HTA","G","Leg","Game Time Decision",2026-01-30
"1138","Yoan","Makoundou","Yoan Makoundou","/euro/player/yoan-makoundou-1138","ASM","C","Hip","Game Time Decision",2026-01-30
"767","Theo","Maledon","Theo Maledon","/euro/player/theo-maledon-767","RMB","G","Thigh","OUT",2026-01-30
"1100","Nico","Mannion","Nico Mannion","/euro/player/nico-mannion-1100","EA7","G","Back","OUT",2026-01-30
"689","Vanja","Marinkovic","Vanja Marinkovic","/euro/player/vanja-marinkovic-689","PAR","F","Achilles","OUT",2026-01-30
"1402","Nate","Mason","Nate Mason","/euro/player/nate-mason-1402","DUB","G","Back","OUT",2026-01-30
"1334","David","McCormack","David McCormack","/euro/player/david-mccormack-1334","BAY","C","Illness","OUT",2026-01-30
"1459","Shake","Milton","Shake Milton","/euro/player/shake-milton-1459","PAR","G","Hand","OUT",2026-01-30
"1519","Monte","Morris","Monte Morris","/euro/player/monte-morris-1519","OLY","G","Knee","OUT",2026-01-30
"805","Mario","Nakic","Mario Nakic","/euro/player/mario-nakic-805","PAR","F","Knee","OUT",2026-01-30
"1474","Markquis","Nowell","Markquis Nowell","/euro/player/markquis-nowell-1474","BKN","G","Knee","OUT",2026-01-30
"1313","Frank","Ntilikina","Frank Ntilikina","/euro/player/frank-ntilikina-1313","OLY","G","Ankle","OUT",2026-01-30
"920","Juan","Nunez","Juan Nunez","/euro/player/juan-nunez-920","BAR","G","Knee","OUT",2026-01-30
"1261","Kendrick","Nunn","Kendrick Nunn","/euro/player/kendrick-nunn-1261","PAO","G","Ankle","OUT",2026-01-30
"1099","Alessandro","Pajola","Alessandro Pajola","/euro/player/alessandro-pajola-1099","VIR","G","Knee","OUT",2026-01-30
"550","Georgios","Papagiannis","Georgios Papagiannis","/euro/player/georgios-papagiannis-550","EFS","C","Knee","OUT",2026-01-30
"398","Kostas","Papanikolaou","Kostas Papanikolaou","/euro/player/kostas-papanikolaou-398","OLY","F","Back","OUT",2026-01-30
"1286","Uros","Plavsic","Uros Plavsic","/euro/player/uros-plavsic-1286","CZV","C","Shoulder","OUT",2026-01-30
"802","Aleksej","Pokusevski","Aleksej Pokusevski","/euro/player/aleksej-pokusevski-802","PAR","F","Knee","OUT",2026-01-30
"894","Aleksa","Radanov","Aleksa Radanov","/euro/player/aleksa-radanov-894","PAR","F","Not Injury Related","OUT",2026-01-30
"1110","Jasiel","Rivero","Jasiel Rivero","/euro/player/jasiel-rivero-1110","CZV","C","Foot","OUT",2026-01-30
"613","Tadas","Sedekerskis","Tadas Sedekerskis","/euro/player/tadas-sedekerskis-613","BKN","F","Ankle","OUT",2026-01-30
"1206","Nate","Sestina","Nate Sestina","/euro/player/nate-sestina-1206","EA7","F","Triceps","OUT",2026-01-30
"1526","Chris","Silva","Chris Silva","/euro/player/chris-silva-1526","FBB","C","Quadriceps","OUT",2026-01-30
"1098","Alen","Smailagic","Alen Smailagic","/euro/player/alen-smailagic-1098","VIR","F","Abdomen","OUT",2026-01-30
"1113","Stefano","Tonut","Stefano Tonut","/euro/player/stefano-tonut-1113","EA7","G","Illness","Game Time Decision",2026-01-30
"1360","Lonnie","Walker IV","Lonnie Walker IV","/euro/player/lonnie-walker-iv-1360","MTA","G","Shoulder","OUT",2026-01-30
"1340","Duane","Washington","Duane Washington","/euro/player/duane-washington-1340","PAR","G","Back","OUT",2026-01-30
"533","Scottie","Wilbekin","Scottie Wilbekin","/euro/player/scottie-wilbekin-533","FBB","G","Knee","OUT",2026-01-30
"535","Nigel","Williams-Goss","Nigel Williams-Goss","/euro/player/nigel-williams-goss-535","ZAL","G","Calf","OUT",2026-01-30
"1201","Derek","Willis","Derek Willis","/euro/player/derek-willis-1201","PBB","F","Undisclosed","OUT",2026-01-30
"1241","Burak","Yildizli","Burak Yildizli","/euro/player/burak-yildizli-1241","EFS","F","Wrist","OUT",2026-01-30
"1247","Arturs","Zagars","Arturs Zagars","/euro/player/arturs-zagars-1247","FBB","G","Hamstring","OUT",2026-01-30
