"ID","firstname","lastname","player","playerURL","team","position","injury","status","date"
"1389","Matteo","Accorsi","Matteo Accorsi","/euro/player/matteo-accorsi-1389","VIR","G","Finger","OUT",2026-05-25
"1469","Derrick","Alston Jr","Derrick Alston Jr","/euro/player/derrick-alston-jr-1469","VIR","F","Hand","OUT",2026-05-25
"1378","Jilson","Bango","Jilson Bango","/euro/player/jilson-bango-1378","FBB","C","Knee","OUT",2026-05-25
"1400","Antonio","Blakeney","Antonio Blakeney","/euro/player/antonio-blakeney-1400","HTA","G","Calf","OUT",2026-05-25
"708","Lorenzo","Brown","Lorenzo Brown","/euro/player/lorenzo-brown-708","EA7","G","Not Injury Related","OUT",2026-05-25
"692","Elijah","Bryant","Elijah Bryant","/euro/player/elijah-bryant-692","HTA","G","Undisclosed","OUT",2026-05-25
"998","Isaiah","Canaan","Isaiah Canaan","/euro/player/isaiah-canaan-998","CZV","G","Knee","OUT",2026-05-25
"323","Will","Clyburn","Will Clyburn","/euro/player/will-clyburn-323","BAR","F","Undisclosed","OUT",2026-05-25
"1103","Isaia","Cordinier","Isaia Cordinier","/euro/player/isaia-cordinier-1103","EFS","G","Knee","OUT",2026-05-25
"1021","Alpha","Diallo","Alpha Diallo","/euro/player/alpha-diallo-1021","ASM","F","Thigh","OUT",2026-05-25
"1208","Khalifa","Diop","Khalifa Diop","/euro/player/khalifa-diop-1208","BKN","C","Knee","OUT",2026-05-25
"1531","Amit","Ebo","Amit Ebo","/euro/player/amit-ebo-1531","MTA","G","Shoulder","OUT",2026-05-25
"548","Tyler","Ennis","Tyler Ennis","/euro/player/tyler-ennis-548","HTA","G","Achilles","OUT",2026-05-25
"972","Keenan","Evans","Keenan Evans","/euro/player/keenan-evans-972","OLY","G","Achilles","OUT",2026-05-25
"1057","Kenneth","Faried","Kenneth Faried","/euro/player/kenneth-faried-1057","PAO","C","Leg","OUT",2026-05-25
"806","Usman","Garuba","Usman Garuba","/euro/player/usman-garuba-806","RMB","C","Leg","OUT",2026-05-25
"1436","Tomer","Ginat","Tomer Ginat","/euro/player/tomer-ginat-1436","HTA","F","Knee","OUT",2026-05-25
"337","Thomas","Heurtel","Thomas Heurtel","/euro/player/thomas-heurtel-337","ASV","G","Ankle","OUT",2026-05-25
"1107","Mam","Jaiteh","Mam Jaiteh","/euro/player/mam-jaiteh-1107","DUB","C","Achilles","OUT",2026-05-25
"656","Rokas","Jokubaitis","Rokas Jokubaitis","/euro/player/rokas-jokubaitis-656","BAY","G","Knee","OUT",2026-05-25
"594","Stefan","Jovic","Stefan Jovic","/euro/player/stefan-jovic-594","BAY","G","Ankle","OUT",2026-05-25
"1120","Panagiotis","Kalaitzakis","Panagiotis Kalaitzakis","/euro/player/panagiotis-kalaitzakis-1120","PAO","G","Ankle","OUT",2026-05-25
"678","Nicolas","Laprovittola","Nicolas Laprovittola","/euro/player/nicolas-laprovittola-678","BAR","G","Thigh","OUT",2026-05-25
"1446","T.J.","Leaf","T.J. Leaf","/euro/player/tj-leaf-1446","MTA","F","Shoulder","OUT",2026-05-25
"1508","Alex","Len","Alex Len","/euro/player/alex-len-1508","RMB","C","Foot","OUT",2026-05-25
"1109","Xabi","Lopez-Arostegui","Xabi Lopez-Arostegui","/euro/player/xabi-lopez-arostegui-1109","VBC","G","Hamstring","OUT",2026-05-25
"525","Jordan","Loyd","Jordan Loyd","/euro/player/jordan-loyd-525","EFS","G","Back","OUT",2026-05-25
"1302","Collin","Malcolm","Collin Malcolm","/euro/player/collin-malcolm-1302","HTA","F","Calf","OUT",2026-05-25
"689","Vanja","Marinkovic","Vanja Marinkovic","/euro/player/vanja-marinkovic-689","PAR","F","Achilles","OUT",2026-05-25
"1402","Nate","Mason","Nate Mason","/euro/player/nate-mason-1402","DUB","G","Back","OUT",2026-05-25
"1418","Stefan","Miljenovic","Stefan Miljenovic","/euro/player/stefan-miljenovic-1418","CZV","G","Ankle","OUT",2026-05-25
"1459","Shake","Milton","Shake Milton","/euro/player/shake-milton-1459","PAR","G","Knee","OUT",2026-05-25
"671","Nikola","Mirotic","Nikola Mirotic","/euro/player/nikola-mirotic-671","ASM","C","Calf","OUT",2026-05-25
"805","Mario","Nakic","Mario Nakic","/euro/player/mario-nakic-805","PAR","F","Leg","OUT",2026-05-25
"1474","Markquis","Nowell","Markquis Nowell","/euro/player/markquis-nowell-1474","BKN","G","Abdomen","OUT",2026-05-25
"1261","Kendrick","Nunn","Kendrick Nunn","/euro/player/kendrick-nunn-1261","PAO","G","Neck","OUT",2026-05-25
"1099","Alessandro","Pajola","Alessandro Pajola","/euro/player/alessandro-pajola-1099","VIR","G","Knee","OUT",2026-05-25
"550","Georgios","Papagiannis","Georgios Papagiannis","/euro/player/georgios-papagiannis-550","EFS","C","Knee","OUT",2026-05-25
"984","Filip","Petrusev","Filip Petrusev","/euro/player/filip-petrusev-984","DUB","C","Hip","OUT",2026-05-25
"281","Vincent","Poirier","Vincent Poirier","/euro/player/vincent-poirier-281","EFS","C","Knee","OUT",2026-05-25
"465","Josep","Puerto","Josep Puerto","/euro/player/josep-puerto-465","VBC","G","Ankle","OUT",2026-05-25
"1092","Tomas","Satoransky","Tomas Satoransky","/euro/player/tomas-satoransky-1092","BAR","G","Back","OUT",2026-05-25
"351","Kostas","Sloukas","Kostas Sloukas","/euro/player/kostas-sloukas-351","PAO","G","Knee","OUT",2026-05-25
"491","Walter","Tavares","Walter Tavares","/euro/player/walter-tavares-491","RMB","C","Knee","OUT",2026-05-25
"1382","Daniel","Theis","Daniel Theis","/euro/player/daniel-theis-1382","ASM","C","Finger","OUT",2026-05-25
"989","Armel","Traore","Armel Traore","/euro/player/armel-traore-989","ASV","C","Ankle","OUT",2026-05-25
"1441","Bastien","Vautier","Bastien Vautier","/euro/player/bastien-vautier-1441","ASV","C","Calf","OUT",2026-05-25
"355","Jan","Vesely","Jan Vesely","/euro/player/jan-vesely-355","BAR","C","Knee","OUT",2026-05-25
